t (YYYYMMDD_HH:MM:SS),T (°C),RH (%RH),P (kPa)
20240323_221000 , 18.905013027251698 , 30.79692541130097 , 955.5444517619227
20240323_221100 , 18.783359249704517 , 30.882566230482116 , 955.6882889516752
20240323_221200 , 18.56539665083983 , 31.025436691855894 , 955.6888087364827
20240323_221300 , 18.367710107937455 , 31.20674621351441 , 955.6381956145077
20240323_221400 , 18.291676940076286 , 31.40262056455647 , 955.606221385306
20240323_221500 , 18.215643837698735 , 31.420505697638635 , 955.6823430236789
20240323_221600 , 18.11933533535921 , 31.516520357638345 , 955.5120735461555
20240323_221700 , 18.114266469725408 , 31.627764369169427 , 955.7207207357752
20240323_221800 , 18.028095798479626 , 31.562395439096008 , 955.7816713660962
20240323_221900 , 17.997682640474522 , 31.59620471076034 , 955.682384745482
20240323_222000 , 18.023026938084513 , 31.606930260543347 , 955.6930714338221
20240323_222100 , 17.982476065400988 , 31.479748085647582 , 955.7948496334211
20240323_222200 , 17.921649791300297 , 31.54181059216511 , 955.8124051324126
20240323_222300 , 17.93178750074003 , 31.513874085333196 , 955.9625686880867
20240323_222400 , 17.855754708318273 , 31.403947202393457 , 955.9034363314793
20240323_222500 , 17.840548157691956 , 31.45973639323412 , 955.9348275578807
20240323_222600 , 17.794928521529073 , 31.482664335669273 , 955.8399189066894
20240323_222700 , 17.779721981380135 , 31.471791805673885 , 955.9523321118514
20240323_222800 , 17.997682640474522 , 31.15163610029885 , 955.9795868535432
20240323_222900 , 18.347434590104967 , 30.817729746248464 , 955.9865117962214
20240323_223000 , 18.6617056397954 , 30.467162568154453 , 956.0483899197866
20240323_223100 , 18.920219761232147 , 30.273068171780228 , 956.0540970081379
20240323_223200 , 19.117907541338354 , 30.05201444576393 , 956.0232616458567
20240323_223300 , 19.275044297712157 , 29.998807563818062 , 956.1215016605395
20240323_223400 , 19.411905571469106 , 29.918064920035395 , 956.0812388523174
20240323_223500 , 19.53356021514628 , 29.85430374912106 , 956.099543294547
20240323_223600 , 19.64507711911574 , 29.762802105048593 , 956.0485542212862
20240323_223700 , 19.74138728590333 , 29.65481132865803 , 956.0561890067245
20240323_223800 , 19.832628593459958 , 29.535705310735324 , 956.0833575028555
20240323_223900 , 19.88331824951456 , 29.456481752836844 , 956.0502631214581
20240323_224000 , 19.944145875197137 , 29.37702392612892 , 956.0322115658033
20240323_224100 , 20.01004251698032 , 29.275089798822613 , 956.1571969564254
20240323_224200 , 19.81235273918719 , 29.256961899340155 , 956.1887200290143
20240323_224300 , 19.411905571469106 , 29.494161164082243 , 956.135397846099
20240323_224400 , 19.112838618370006 , 29.784581229084733 , 956.286392622537
20240323_224500 , 18.879668476438383 , 29.984170831928665 , 956.1831962466028
20240323_224600 , 18.7225324237952 , 30.131978395166087 , 956.2200103391446
20240323_224700 , 18.57553443420329 , 30.20711763383654 , 956.2447497978881
20240323_224800 , 18.418398922891356 , 30.37697558497807 , 956.2543084310653
20240323_224900 , 18.266332565341145 , 30.50767285452571 , 956.2713104258955
20240323_225000 , 18.180161745665828 , 30.614867802255983 , 956.1700927675768
20240323_225100 , 18.09399101010058 , 30.694218086105927 , 956.2850563863052
20240323_225200 , 17.99261378182564 , 30.83493231195415 , 956.1881898257446
20240323_225300 , 17.926718645874644 , 30.88051192267576 , 956.1441329651527
20240323_225400 , 17.850685857818462 , 30.981805531752755 , 956.1660140318272
20240323_225500 , 17.73410237664939 , 31.028181712505873 , 956.1004846694215
20240323_225600 , 17.653000915335724 , 31.140585141601992 , 956.0877564411957
20240323_225700 , 17.69355163667933 , 31.10660419934897 , 956.0401124671974
20240323_225800 , 17.647932076477446 , 31.1406674603054 , 956.0262024056781
20240323_225900 , 17.551624193467433 , 31.025638809886814 , 956.0718149466262
20240323_230000 , 17.663138593925396 , 31.05156717621997 , 956.0218383988412
20240323_230100 , 18.06864669211791 , 30.677981992480237 , 956.1122213533714
